date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
1/3/2019,0,0,81,FALSE,Recommended,Great game great devs,Insurgency: Sandstorm
12/22/2018,0,0,7,FALSE,Recommended,Best team based realistic tactical fps game on the market!,Insurgency: Sandstorm
12/27/2018,0,0,22,FALSE,Recommended,Very Very nice game but has a few bug and when i say "a few" i mean alot granted these will prbally be fixed in the future they still get anoying such as weapons not loading maps not loading losing connection as soon as i join a game poor optimazation etc etc. anyway great game greatmechanics good community love it so far!,Insurgency: Sandstorm
12/22/2018,0,0,23,FALSE,Recommended,Good game !,Insurgency: Sandstorm
12/26/2018,0,0,52,FALSE,Recommended,This game is instantly addictive. Bought it for myself on Christmas and played 10 hours. If you played the first Insurgency you'll love this game. Gunplay feels very satisfying and it feels like you're carrying around a Howitzer. Gameplay is challenging and the fast time to kill and time to death makes succeeding in tense situations even more validating. Perfect 5/7,Insurgency: Sandstorm
12/22/2018,0,0,61,FALSE,Recommended,SO MUCH FUN. I've been playing this for about 4 days now and i can't stop. It feels fresh to me and that's a long awaited feeling. The guns are easily customizable the enemy AI isn't complete trash and the objectives are straight forward. I haven't had this much fun playing a game since PUBG first came out in 2017 so it's been a while since i'vebeen able to say that i truely enjoy this game. If you like FPS with a good challenge try this out. The only things i can think of that need improvement are that it doesn't seem well optimised even for my RTX 2080 which seems like it should be able to handle this at 1440p on the highest settings but oh well. If you have anything below a 1070 tuirn the effects all the way down shadows down foliage to medium and you should have a really good experience at 1080p and 1440p.,Insurgency: Sandstorm
12/26/2018,0,0,69,FALSE,Recommended,This is one of the best shooters I've ever played. I've always felt like Arma modded pvp is the gold standard in tense/heartpounding firefights with other players that will make you jump in your seat when someone fires a round at you and make you feel insanely good when you kill someone. Gunfights feel heartpoundingly tense like they do In pvp Arma. For anyone coming from Battlefield I can tell you that this game manages to provide that intense shooting experience at higher levels than Battlefield 5 and it does this with fewer accoutrements than what Battlefield puts on the maps (tanks planes etc.). Insurgency does have air support but it works much differently than other games like BF. Suffice it to say it's well implemented and balanced and it adds lots of intensity to the experience.Every gunfight feels intense. Your aim is truly important in this game but even more so is your reaction time. I am not knocking Battlefield or COD or doing any of that kind of childish "my game is better than yours" kind of bs. But in my opinion this is the game you want to play if you like a hardcore game focused on teamwork skill and intense close quarters combat.One important thing for me is that all guns gear etc. are unlocked from the beginning. You don't have to grind for weeks like in other games to unlock that weapon that everyone else who got there first is using to mow you down. Nope just pick your loadout and go. The currency you earn for playing the game is used to buy cosmetics for your character.There is no killcam (thank god). The game intentionally lacks some things like ammo count in your mag to focus the experience more to the hardcore. Be mindful of when to reload. Be mindful of whether or not you've even loaded a mag in the magwell. I love the fact that if you start reloading and then immediately start doing something else like climbing over a ledge or sprinting you will not load the mag in and you will need to leave some time to actually put a mag in at some point. Features like this make the experience feel hardcore and authentic. It's features like this that make the experience feel deep. Reloading a mag in the heat of things is a serious decision. Pulling out your grenade to throw it in a tight spot is a serious decision. Everything you do feels important to your success.Lastly I have to point out how amazing the sound is in this game. Earlier I stated that this game provides that feeling of a big battlefield fight but it does so without all the tanks and planes and stuff that a game like BF has. It does this with some of the best sound effects in a shooter I've ever heard. Prepare your ears because things that should be loud and deafening are loud and defeaning. When things are quiet you will hear footsteps around you. When explosions are going off and there is mass confusion you will understand what I am talking about with the sound design. Every sound effect in this game is on point.This game is well worth the price if you're looking for a very tight shooting experience. If you've never played something like this it will feel difficult at first but stick it out. This game will reward your patience in learning the maps learning how to move and when to push or hold position and learning the gun recoil etc. etc.,Insurgency: Sandstorm
1/3/2019,0,0,38,FALSE,Recommended,pretty damn good,Insurgency: Sandstorm
12/27/2018,0,0,53,FALSE,Recommended,Best multiplayer shooter I have played in a long time. Combines realism with arcade style shooting mechanics perfectly. Loadout balances are great and the tactical nature of the game shines in every game mode. I cannot recomend enough especially for the price.,Insurgency: Sandstorm
1/4/2019,0,0,25,FALSE,Recommended,Awesome game! So glad they kept the good stuff from Insurgency. Wish that the joining game as party worked better but it is still early days so sure it will be addressed.,Insurgency: Sandstorm
1/4/2019,0,0,98,FALSE,Recommended,Very Fun and enjoyable to play.,Insurgency: Sandstorm
12/30/2018,0,0,57,FALSE,Not Recommended,This is not a bad game. I just cannot recommend it in its current state. After already extending the beta once it is still full of bugs and feels like it is missing features. The game is getting updated so it might get better but as it stands the first game is just better than this unfortunately.,Insurgency: Sandstorm
1/12/2019,0,0,34,FALSE,Recommended,A very good game it just needs A LOT of optimization.,Insurgency: Sandstorm
1/23/2019,0,0,42,FALSE,Recommended,First Impressions. It seems that with every incarnation of the Insurgency brand it loses part of what made the original mod great. This time it seems that the interface has been crippled to cater to console players. It still feels like a better game than any of the triple A releases this year. WIll update my review once I have 10+ hours in the game.,Insurgency: Sandstorm
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
